pair,float_tile_ratio,hybrid_overhead_fraction_over_float,separate_area_um2,hybrid_area_um2,hybrid_minus_separate_um2,winner
W4A8 + FP8 E4M3,1.0,0.0,859.8046225703124,678.314008,-181.49061457031246,hybrid
W4A8 + FP8 E4M3,1.0,0.05,859.8046225703124,712.2297083999999,-147.57491417031247,hybrid
W4A8 + FP8 E4M3,1.0,0.1,859.8046225703124,746.1454088,-113.65921377031236,hybrid
W4A8 + FP8 E4M3,1.0,0.2,859.8046225703124,813.9768095999999,-45.82781297031249,hybrid
W4A8 + FP8 E4M3,1.0,0.3,859.8046225703124,881.8082104,22.003587829687604,separate
W4A8 + FP8 E4M3,1.0,0.5,859.8046225703124,1017.471012,157.66638942968757,separate
W8A8 + FP8 E4M3,0.0625,0.0,307.1459763085938,678.314008,371.16803169140616,separate
W8A8 + FP8 E4M3,0.0625,0.05,307.1459763085938,712.2297083999999,405.08373209140615,separate
W8A8 + FP8 E4M3,0.0625,0.1,307.1459763085938,746.1454088,438.99943249140625,separate
W8A8 + FP8 E4M3,0.0625,0.2,307.1459763085938,813.9768095999999,506.8308332914061,separate
W8A8 + FP8 E4M3,0.0625,0.3,307.1459763085938,881.8082104,574.6622340914062,separate
W8A8 + FP8 E4M3,0.0625,0.5,307.1459763085938,1017.471012,710.3250356914061,separate
W8A8 + FP8 E4M3,0.125,0.0,349.54060180859375,678.314008,328.7734061914062,separate
W8A8 + FP8 E4M3,0.125,0.05,349.54060180859375,712.2297083999999,362.6891065914062,separate
W8A8 + FP8 E4M3,0.125,0.1,349.54060180859375,746.1454088,396.6048069914063,separate
W8A8 + FP8 E4M3,0.125,0.2,349.54060180859375,813.9768095999999,464.43620779140616,separate
W8A8 + FP8 E4M3,0.125,0.3,349.54060180859375,881.8082104,532.2676085914063,separate
W8A8 + FP8 E4M3,0.125,0.5,349.54060180859375,1017.471012,667.9304101914063,separate
W8A8 + FP8 E4M3,0.25,0.0,434.3298528085937,678.314008,243.98415519140622,separate
W8A8 + FP8 E4M3,0.25,0.05,434.3298528085937,712.2297083999999,277.8998555914062,separate
W8A8 + FP8 E4M3,0.25,0.1,434.3298528085937,746.1454088,311.8155559914063,separate
W8A8 + FP8 E4M3,0.25,0.2,434.3298528085937,813.9768095999999,379.6469567914062,separate
W8A8 + FP8 E4M3,0.25,0.3,434.3298528085937,881.8082104,447.4783575914063,separate
W8A8 + FP8 E4M3,0.25,0.5,434.3298528085937,1017.471012,583.1411591914062,separate
W8A8 + FP8 E4M3,0.5,0.0,603.9083548085937,678.314008,74.40565319140626,separate
W8A8 + FP8 E4M3,0.5,0.05,603.9083548085937,712.2297083999999,108.32135359140625,separate
W8A8 + FP8 E4M3,0.5,0.1,603.9083548085937,746.1454088,142.23705399140636,separate
W8A8 + FP8 E4M3,0.5,0.2,603.9083548085937,813.9768095999999,210.06845479140623,separate
W8A8 + FP8 E4M3,0.5,0.3,603.9083548085937,881.8082104,277.8998555914063,separate
W8A8 + FP8 E4M3,0.5,0.5,603.9083548085937,1017.471012,413.5626571914063,separate
W8A8 + FP8 E4M3,0.75,0.0,773.4868568085938,678.314008,-95.17284880859381,hybrid
W8A8 + FP8 E4M3,0.75,0.05,773.4868568085938,712.2297083999999,-61.25714840859382,hybrid
W8A8 + FP8 E4M3,0.75,0.1,773.4868568085938,746.1454088,-27.341448008593716,hybrid
W8A8 + FP8 E4M3,0.75,0.2,773.4868568085938,813.9768095999999,40.489952791406154,separate
W8A8 + FP8 E4M3,0.75,0.3,773.4868568085938,881.8082104,108.32135359140625,separate
W8A8 + FP8 E4M3,0.75,0.5,773.4868568085938,1017.471012,243.98415519140622,separate
W8A8 + FP8 E4M3,1.0,0.0,943.0653588085937,678.314008,-264.75135080859377,hybrid
W8A8 + FP8 E4M3,1.0,0.05,943.0653588085937,712.2297083999999,-230.83565040859378,hybrid
W8A8 + FP8 E4M3,1.0,0.1,943.0653588085937,746.1454088,-196.91995000859367,hybrid
W8A8 + FP8 E4M3,1.0,0.2,943.0653588085937,813.9768095999999,-129.0885492085938,hybrid
W8A8 + FP8 E4M3,1.0,0.3,943.0653588085937,881.8082104,-61.25714840859371,hybrid
W8A8 + FP8 E4M3,1.0,0.5,943.0653588085937,1017.471012,74.40565319140626,separate
W4A8 + BF16 (1GHz fail),0.0625,0.0,237.5954476665039,897.6773295390625,660.0818818725586,separate
W4A8 + BF16 (1GHz fail),0.0625,0.05,237.5954476665039,942.5611960160156,704.9657483495117,separate
W4A8 + BF16 (1GHz fail),0.0625,0.1,237.5954476665039,987.4450624929689,749.849614826465,separate
W4A8 + BF16 (1GHz fail),0.0625,0.2,237.5954476665039,1077.212795446875,839.617347780371,separate
