input_kind,distribution,dot_length,samples,items_per_cycle,accum_style,block_products,median_cancellation_ratio,p99_cancellation_ratio,reference_rms,rmse,nrmse,relative_samples,median_relative_error_filtered,p95_relative_error_filtered,p99_relative_error_filtered,max_abs_error
fp8_proxy,positive,128,1600,4,bf16_tree_fp32_recurrent,,1.0,1.0,75.10970022140444,0.03351649729520305,0.00044623393777907345,1600,0.00029822887834914677,0.0008586308731255623,0.001128516732188578,0.1233978271484375
fp8_proxy,positive,128,1600,4,bf16_block64_fp32_checkpoint,64,1.0,1.0,75.10970022140444,0.22407068485573933,0.002983245628663615,1600,0.0020490969310447207,0.005791216978691249,0.007723765769295105,0.7808361053466797
fp8_proxy,positive,1024,600,4,full_bf16,,1.0,1.0,599.9344492146912,11.736842386621305,0.01956354132019711,600,0.01429956466521232,0.03665484803164686,0.04370689874833681,41.099807262420654
fp8_proxy,positive,1024,600,4,bf16_tree_fp32_recurrent,,1.0,1.0,599.9344492146912,0.09925845841656013,0.00016544883952986623,600,0.00011174121927856408,0.00031711841475337495,0.00040142385182174995,0.3362550735473633
fp8_proxy,positive,1024,600,4,bf16_block64_fp32_checkpoint,64,1.0,1.0,599.9344492146912,0.6087630895640089,0.0010147160083253668,600,0.0006638683900083201,0.0019246916214047357,0.0025432084685447095,1.9245948791503906
fp8_proxy,positive,4096,240,4,full_bf16,,1.0,1.0,2397.2398503167315,818.462416702309,0.3414186597115725,240,0.3407297139106783,0.3733070836068279,0.3958773562563675,954.3282034397125
fp8_proxy,positive,4096,240,4,bf16_tree_fp32_recurrent,,1.0,1.0,2397.2398503167315,0.20722866014596003,8.64446918478267e-05,240,6.070992643647232e-05,0.00017334506982777845,0.00022749682545775797,0.607940673828125
fp8_proxy,positive,4096,240,4,bf16_block64_fp32_checkpoint,64,1.0,1.0,2397.2398503167315,1.3483129843139237,0.0005624439223867316,240,0.0003481026079811246,0.001126071271367789,0.001608134333705808,4.412078142166138
fp8_proxy,outlier,128,1600,4,full_bf16,,2.7416293755061663,229.66426221557307,334.90270768922517,2.5391428415810937,0.007581732793684384,1451,0.005541672723530151,0.021546542286436703,0.03946530382437459,21.942535400390625
fp8_proxy,outlier,128,1600,4,bf16_tree_fp32_recurrent,,2.7416293755061663,229.66426221557307,334.90270768922517,0.7006480968474714,0.0020920944523913545,1451,0.001757932017898558,0.009753311469306525,0.017775248804596085,3.03955078125
fp8_proxy,outlier,128,1600,4,bf16_block64_fp32_checkpoint,64,2.7416293755061663,229.66426221557307,334.90270768922517,1.842981637340791,0.00550303594156365,1451,0.004283098235424824,0.020195117423293493,0.0359849766521856,14.600448608398438
fp8_proxy,outlier,1024,600,4,full_bf16,,5.512009314719588,228.80394991256253,338.51265801455406,6.112543386566523,0.018057060029653956,555,0.014708082717031631,0.05726669776056398,0.09234741319322426,27.046802520751953
