mode,distribution,dot_length,samples,items_per_lane_per_cycle,reference_rms,rmse,nrmse_pct,relative_samples,median_relative_pct,p95_relative_pct,p99_relative_pct,max_abs_error
fp8_fp8,cancellation,16,2400,4,23.905651185298094,0.02943633664636458,0.12313547293983709,2400,0.08195886494052337,0.23963582616894885,0.31116202665373227,0.142578125
fp8_fp8,cancellation,64,1600,4,92.59736393052245,0.05987192082574306,0.06465834261833425,1600,0.04412561973926735,0.12888024227809286,0.16491083523666605,0.19036865234375
fp8_fp8,cancellation,128,1200,4,184.58365081282233,0.08178062198421751,0.04430545263575235,1200,0.029962842404090105,0.08596339398515147,0.11607135348421474,0.32244873046875
fp8_fp8,cancellation,1024,360,4,1466.7387929691986,0.2373784989404471,0.01618410176906203,360,0.010274619348813683,0.02998042664328866,0.04260713561202446,0.764556884765625
fp8_fp8,cancellation,4096,120,4,5859.011938030311,0.5171297720244603,0.008826228338396415,120,0.005652376810574774,0.01596560292108541,0.022400907733729568,1.5251083374023438
bf16_bf16,gaussian,16,2400,1,4.11662067206937,0.006621934591657717,0.16085850796471268,2186,0.13638369193546487,0.825688227535609,1.4995205545155488,0.03440713882446289
bf16_bf16,gaussian,64,1600,1,7.889949770316427,0.013454509316349965,0.17052718595203897,1471,0.14482646773718616,1.0573362533852617,2.0880285659177598,0.05154874920845032
bf16_bf16,gaussian,128,1200,1,11.277697049639869,0.019523645737892836,0.17311730978370524,1089,0.14842474641257106,1.02629531787732,1.932731317763313,0.07174749672412872
bf16_bf16,gaussian,1024,360,1,32.52187587703839,0.05270809925887828,0.16206967721715,326,0.1352589043753705,0.7399384926808991,1.1458322689821208,0.16421601176261902
bf16_bf16,gaussian,4096,120,1,59.5275578157534,0.10535215863973567,0.1769804818229167,112,0.167395246661558,1.0825637087927371,1.6640172993616573,0.3024455067352392
bf16_bf16,positive,16,2400,1,10.739734256104898,0.006740416993654569,0.0627614876953128,2400,0.0424162454161975,0.11899018422704584,0.15506378003067475,0.03804779052734375
bf16_bf16,positive,64,1600,1,41.169141650876014,0.013321314284374998,0.032357522528263696,1600,0.020946760001746015,0.06586426213049848,0.08591836209844651,0.04623126983642578
bf16_bf16,positive,128,1200,1,81.79753509620392,0.01889222181167088,0.023096321654987907,1200,0.016171170441286548,0.04410622115554931,0.05995875166705298,0.07533860206604004
bf16_bf16,positive,1024,360,1,651.8610167673485,0.060592847455542546,0.009295362952678047,360,0.006289974163650375,0.01789443563997173,0.02349339030262005,0.19053308852016926
bf16_bf16,positive,4096,120,1,2613.877603574232,0.146332909134123,0.005598307622898122,120,0.0037252582648270496,0.01029041602007885,0.014372271772113403,0.42331358821320464
bf16_bf16,outlier,16,2400,1,25.922800692404444,0.034693542421005155,0.1338340823303502,1441,0.11362298484707577,0.3557521707755108,0.5509878511979185,0.4451286792755127
bf16_bf16,outlier,64,1600,1,145.6406107345236,0.10351894442758809,0.07107835095273278,746,0.11092985941418994,0.31879339856833827,0.4684929307130941,1.9836091995239258
bf16_bf16,outlier,128,1200,1,171.07731840406905,0.45717050200724074,0.26723034138718826,704,0.11526150679976233,0.37463061769415484,0.6511269700669384,15.11416070535779
bf16_bf16,outlier,1024,360,1,351.4458339142902,0.6049776186735751,0.17213964722117484,292,0.12014839590481835,0.5436031323679648,0.874532708526387,7.781715647317469
bf16_bf16,outlier,4096,120,1,657.4660488359091,1.047481657971929,0.15932102651179794,97,0.11316226822933001,0.6255273455833316,0.8314051483118013,6.927780759520829
bf16_bf16,cancellation,16,2400,1,10.553481532976395,0.00661880251484223,0.06271676786622973,2400,0.042929166180788764,0.1206126943509178,0.15302472678347684,0.025652170181274414
bf16_bf16,cancellation,64,1600,1,41.286258692642356,0.012914597325671776,0.0312806191082005,1600,0.021819752505005424,0.05966218431028764,0.07878929812188663,0.05207410454750061
bf16_bf16,cancellation,128,1200,1,81.7044865213291,0.01876485585142941,0.022966738609306123,1200,0.014815591770578406,0.043839478738908894,0.0604802893090611,0.070014089345932
bf16_bf16,cancellation,1024,360,1,652.4970709305853,0.05774501256282425,0.008849850081390994,360,0.00617371462936914,0.017467126742462525,0.02189387346850303,0.21002715826034546
bf16_bf16,cancellation,4096,120,1,2611.961736584407,0.15180589562443875,0.00581194944390538,120,0.004647212279573268,0.01042865281504881,0.012448327366700396,0.3396463405806571
i4_fp8,gaussian,16,2400,4,10.699318188115495,0.013611403654592064,0.12721748634143093,2221,0.0,0.48848569434752265,1.206583602522694,0.140625
i4_fp8,gaussian,64,1600,4,21.15586104932796,0.025963067012466916,0.122722809305328,1467,0.08424599831508003,0.6500623214610506,1.2547927320204526,0.140625
i4_fp8,gaussian,128,1200,4,29.506410965564267,0.03775143571359241,0.12794316380142123,1107,0.0985869208018403,0.7077539343664178,1.401475314052002,0.150390625
i4_fp8,gaussian,1024,360,4,81.61732318939478,0.10569210812401954,0.12949715084230182,325,0.11559990265271355,0.7524779065571169,0.9755563774794285,0.314453125
i4_fp8,gaussian,4096,120,4,171.2843200508677,0.2214378527851042,0.1292808662925725,109,0.1056569785568296,0.760079715608501,1.2760896998696445,0.79296875
i4_fp8,positive,16,2400,4,27.500867049478018,0.018777107141521206,0.0682782368560907,2400,0.018275980397237983,0.14945181943599445,0.2105363355506691,0.125
i4_fp8,positive,64,1600,4,106.61439617082908,0.03901257185166968,0.0365922176111747,1600,0.022443371287523113,0.07425658291413148,0.10118709344707649,0.21484375
i4_fp8,positive,128,1200,4,212.35041662913645,0.052837777192545565,0.024882351554235536,1200,0.0161688009439755,0.04997103278029708,0.06362917222526365,0.234375
i4_fp8,positive,1024,360,4,1685.7583566806534,0.1623233715554387,0.009629100808674735,360,0.006558170055790088,0.01873990544311337,0.022699180314508075,0.427734375
i4_fp8,positive,4096,120,4,6739.620676022879,0.31463059497698714,0.004668372451528741,120,0.0036221646246934335,0.008771616293139573,0.010190074435294731,0.716796875
i4_fp8,outlier,16,2400,4,37.34053972761126,0.09532588176904731,0.2552879054893765,1774,0.0,0.3925166396833961,0.7092184825050388,3.125
i4_fp8,outlier,64,1600,4,71.83731434482635,0.1477820370274651,0.20571765297084524,1295,0.09488358513977081,0.5226298737954849,1.0344069097796247,1.66015625
i4_fp8,outlier,128,1200,4,111.50270278930698,0.2175260763504352,0.1950859225013295,994,0.1098770107501517,0.5220586144335051,1.1069881248642919,2.0078125
i4_fp8,outlier,1024,360,4,293.7964444416093,0.6759625827985166,0.23007854437559783,337,0.16573264078731548,1.2280063824771348,1.9639289265818778,3.119140625
i4_fp8,outlier,4096,120,4,701.8543697961283,1.362631744174909,0.19414736201909244,114,0.14888192862584942,0.9850852906257139,1.7791992649302948,4.744140625
i4_fp8,cancellation,16,2400,4,27.70371223993443,0.020083461502531513,0.07249375581363982,2400,0.018197507418332117,0.15433590077643672,0.21483437071543376,0.1875
i4_fp8,cancellation,64,1600,4,106.62713838060836,0.037788489418818426,0.03543984204465042,1600,0.021159548111767523,0.07227996668703159,0.10153628054248634,0.1484375
i4_fp8,cancellation,128,1200,4,212.37751021569355,0.05457301190270827,0.025696229251055424,1200,0.01700376283686995,0.050652260530678464,0.061752140405950375,0.18359375
i4_fp8,cancellation,1024,360,4,1688.0174345451678,0.15782155093854167,0.009349521379858632,360,0.0059088153729307865,0.01931525931514148,0.024275523616092698,0.533203125
i4_fp8,cancellation,4096,120,4,6752.979609528639,0.31960390690344,0.004732783532360591,120,0.003628783734755296,0.008569734052516842,0.010852791598536056,0.828125
i4_bf16,gaussian,16,2400,2,7.0524265039908975,0.013829336549137122,0.1960933097468118,2191,0.15429122468659595,0.9345794392523363,2.025368075953888,0.08984375
